organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Yasar University,yasar,https://ce.yasar.edu.tr/math-1132-analiz-ii/,MATH 1132,Analiz II,"Cebirsel olmayan fonksiyonlar, İntegral teknikleri, Has olmayan integraller, Diziler, Seriler, Mutlak ve şartlı yakınsaklık, kuvvet serileri, Taylor ve Maclaurin Serileri, Çok değişkenli fonksiyonlar, Katlı integraller.",Dr. Ahmet YANTIR,AHMET YANTIR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1132-analiz-ii/,MATH 1132,Analiz II,"Cebirsel olmayan fonksiyonlar, İntegral teknikleri, Has olmayan integraller, Diziler, Seriler, Mutlak ve şartlı yakınsaklık, kuvvet serileri, Taylor ve Maclaurin Serileri, Çok değişkenli fonksiyonlar, Katlı integraller.",Dr. Şule AYAR ÖZBAL,ŞULE AYAR ÖZBAL,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1202-ayrik-hesaplama-yapilari/,MATH 1202,Ayrık Hesaplama Yapıları,"Kümeler, bağıntılar, fonksiyonlar, çizgeler, ağaçlar.",Dr. Kazım Erdoğdu,KAZIM ERDOĞDU,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1202-ayrik-hesaplama-yapilari/,MATH 1202,Ayrık Hesaplama Yapıları,"Kümeler, bağıntılar, fonksiyonlar, çizgeler, ağaçlar.",Dr. Selin Duruk,SELIN DURUK,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-2240-muhendisler-icin-olasilik-ve-istatistik/,MATH 2240,Mühendisler İçin Olasılık ve İstatistik,"Dersin içeriği örnekleme, örnekleme dağılımları ve merkezi limit teoremi, nokta ve aralık tahmini ve hipotez kavramına açıklık getirilmektedir.Ayrıca Olasılık teorisinin temelleri, olasılık, olasılık fonksiyonu, şartlı olasılık, bağımsızlık, kesikli ve sürekli rasgele değişkenler vebunların marjinal dağılımları, beklenen değer kavramı, varyans ve kovaryans konularını kapsar.",Dr. Şaban Eren,ŞABAN EREN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-2250-uygulamali-dogrusal-cebir/,MATH 2250,Uygulamalı Doğrusal Cebir,"Matris ve matris işlemleri, doğrusal denklem sistemleri, Gauss ve Gauss-Jordan eleme yöntemleri, matris tersinin yardımcı matris ve determinant yardımıyla hesaplanması, MATLAB’in temellerinin anlaşılması, Cramer kuralı, LU ayrıştırması, Lineer vektör uzayları ve alt uzaylar, lineer bağımsızlık, baz ve boyut kavramları, Doğrusal denklem sistemleri için ardışık çözüm yöntemler (Jacobi, Gauss-Seidel).",Dr. Refet Polat,REFET POLAT,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/phys-1121-fizik-i/,PHYS 1121,FİZİK I,"Giriş, Ölçme ve Birimler, Vektörler, 1D Kinematik, 2D ve 3D Kinematik, Dinamik I, Dinamik II, Kinetik Enerji ve İş, Potansiyel Enerji ve Enerji Korunumu, Parçacık Sistemleri, Çarpışmalar, Dönme I, Dönme II, Salınım hareketi ve basit harmonik hareket.",Dr. Özhan Ünverdi,ÖZHAN ÜNVERDI,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/phys-1122-fizik-ii/,PHYS 1122,FİZİK II,"Elektriksel Yük, Elektrik Alan ve Gauss Yasası, Elektriksel Potansiyel, Kondansatörler ve Dielektrik Malzemeler, Akım ve Direnç, Elektromotor Kuvveti ve Elektrik Devreleri, Manyetik Alan, Biot-Savart Yasası ve Ampere Yasası, Faraday’ın İndüksiyon Yasası, İndüksiyon ve İndüktans ve Bobinler, Alternatif Akım ve Elektromanyetik Salınımlar, LC ve RLC Devreleri",Dr. Özhan Ünverdi,ÖZHAN ÜNVERDI,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/se-2222-veri-tabani-sistemleri/,SE 2222,Veri Tabanı Sistemleri,"Bu ders, temel veri yapılarını tanıtmayı amaçlar. Dönem boyunca tanıtılan algoritmalar uygulanır.",Dr. Tuncay Ercan,TUNCAY ERCAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/se-2228-algoritma-analizi-ve-tasarimi/,SE 2228,Algoritma Analizi ve Tasarımı,"Giriş, algoritma analizi, algoritma tasarımı, NP-zor problemlere bakış",Dr. Ahmet Koltuksuz,AHMET KOLTUKSUZ,3290508832415677230,https://ce.yasar.edu.tr/dersler/
